,ccaa_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida
142,EX,2020-02-07,0,0,0,0,0
143,GA,2020-02-07,0,0,0,0,0
144,IB,2020-02-07,0,0,0,0,0
145,MC,2020-02-07,0,0,0,0,0
146,MD,2020-02-07,9,9,0,0,0
147,ML,2020-02-07,0,0,0,0,0
148,NC,2020-02-07,0,0,0,0,0
149,PV,2020-02-07,0,0,0,0,0
150,RI,2020-02-07,0,0,0,0,0
151,VC,2020-02-07,1,0,1,0,0
152,AN,2020-02-08,0,0,0,0,0
153,AR,2020-02-08,0,0,0,0,0
154,AS,2020-02-08,0,0,0,0,0
155,CB,2020-02-08,0,0,0,0,0
156,CE,2020-02-08,0,0,0,0,0
157,CL,2020-02-08,0,0,0,0,0
158,CM,2020-02-08,0,0,0,0,0
159,CN,2020-02-08,0,0,0,0,0
160,CT,2020-02-08,0,0,0,0,0
161,EX,2020-02-08,1,1,0,0,0
162,GA,2020-02-08,0,0,0,0,0
163,IB,2020-02-08,0,0,0,0,0
164,MC,2020-02-08,0,0,0,0,0
165,MD,2020-02-08,8,8,0,0,0
166,ML,2020-02-08,0,0,0,0,0
167,NC,2020-02-08,0,0,0,0,0
168,PV,2020-02-08,0,0,0,0,0
169,RI,2020-02-08,0,0,0,0,0
170,VC,2020-02-08,0,0,0,0,0
171,AN,2020-02-09,1,0,1,0,0
172,AR,2020-02-09,0,0,0,0,0
173,AS,2020-02-09,0,0,0,0,0
174,CB,2020-02-09,0,0,0,0,0
175,CE,2020-02-09,0,0,0,0,0
176,CL,2020-02-09,0,0,0,0,0
177,CM,2020-02-09,0,0,0,0,0
178,CN,2020-02-09,0,0,0,0,0
179,CT,2020-02-09,1,0,0,0,1
180,EX,2020-02-09,0,0,0,0,0
181,GA,2020-02-09,0,0,0,0,0
182,IB,2020-02-09,0,0,0,0,0
183,MC,2020-02-09,0,0,0,0,0
184,MD,2020-02-09,2,2,0,0,0
185,ML,2020-02-09,0,0,0,0,0
186,NC,2020-02-09,0,0,0,0,0
187,PV,2020-02-09,1,0,0,0,1
188,RI,2020-02-09,0,0,0,0,0
189,VC,2020-02-09,0,0,0,0,0
190,AN,2020-02-10,1,1,0,0,0
191,AR,2020-02-10,0,0,0,0,0
192,AS,2020-02-10,0,0,0,0,0
193,CB,2020-02-10,0,0,0,0,0
194,CE,2020-02-10,0,0,0,0,0
195,CL,2020-02-10,1,0,1,0,0
196,CM,2020-02-10,0,0,0,0,0
197,CN,2020-02-10,0,0,0,0,0
198,CT,2020-02-10,3,3,0,0,0
199,EX,2020-02-10,0,0,0,0,0
200,GA,2020-02-10,0,0,0,0,0
201,IB,2020-02-10,2,2,0,0,0
202,MC,2020-02-10,1,0,1,0,0
203,MD,2020-02-10,11,11,0,0,0
204,ML,2020-02-10,0,0,0,0,0
205,NC,2020-02-10,1,1,0,0,0
206,PV,2020-02-10,0,0,0,0,0
207,RI,2020-02-10,0,0,0,0,0
208,VC,2020-02-10,4,1,3,0,0
209,AN,2020-02-11,1,0,1,0,0
210,AR,2020-02-11,1,1,0,0,0
211,AS,2020-02-11,0,0,0,0,0
212,CB,2020-02-11,0,0,0,0,0
213,CE,2020-02-11,0,0,0,0,0
214,CL,2020-02-11,1,1,0,0,0
