,ccaa_iso,fecha,casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida,ccaa_nombre,ocio,compra,parques,transporte,trabajo,residencial,reuniones,host_int,host_ext,aforo_comercial,ocio_nocturno,Pob,Sup,Densidad
32,ES-MD,2020-02-01,9,9,0,0,0,Comunidad de Madrid,3.0,4.0,34.0,4.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924803
33,ES-ML,2020-02-01,0,0,0,0,0,Melilla,1.0,-13.0,-2.0,-6.0,-2.0,0.0,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898876
34,ES-NC,2020-02-01,0,0,0,0,0,Comunidad Foral de Navarra,6.0,0.0,28.0,-25.0,0.0,-3.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647
35,ES-PV,2020-02-01,0,0,0,0,0,País Vasco,4.0,2.0,7.0,8.0,1.0,-2.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406
36,ES-RI,2020-02-01,0,0,0,0,0,La Rioja,4.0,4.0,14.0,17.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107
37,ES-VC,2020-02-01,1,1,0,0,0,Comunitat Valenciana,-3.0,0.0,8.0,1.0,-2.0,-2.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.10568134774832
38,ES-AN,2020-02-02,2,1,1,0,0,Andalucía,0.0,0.0,10.0,8.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381
39,ES-AR,2020-02-02,0,0,0,0,0,Aragón,-1.0,8.0,14.0,7.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103
40,ES-AS,2020-02-02,0,0,0,0,0,Principado de Asturias,-2.0,0.0,-13.0,3.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314
41,ES-CB,2020-02-02,0,0,0,0,0,Cantabria,-4.0,-1.0,-16.0,-5.0,2.0,1.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012
42,ES-CE,2020-02-02,0,0,0,0,0,Ceuta,-3.0,0.0,8.0,-39.85294117647059,3.0,-1.0,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798
43,ES-CL,2020-02-02,0,0,0,0,0,Castilla y León,1.0,4.0,11.0,7.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.561110818168213
44,ES-CM,2020-02-02,0,0,0,0,0,Castilla - La Mancha,-1.0,2.0,8.0,6.0,5.0,-1.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474
