,ccaa_iso,fecha,casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida,ccaa_nombre,ocio,compra,parques,transporte,trabajo,residencial,reuniones,host_int,host_ext,aforo_comercial,ocio_nocturno,Pob,Sup,Densidad
758,ES-RI,2020-03-10,88,88,0,0,0,La Rioja,-1.0,35.0,16.0,-2.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107
759,ES-VC,2020-03-10,305,266,33,0,6,Comunitat Valenciana,-1.0,14.0,15.0,3.0,2.0,0.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.10568134774832
760,ES-AN,2020-03-11,263,246,17,0,0,Andalucía,-2.0,13.0,12.0,2.0,3.0,0.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381
761,ES-AR,2020-03-11,66,66,0,0,0,Aragón,-2.0,25.0,35.0,-3.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103
762,ES-AS,2020-03-11,43,43,0,0,0,Principado de Asturias,-2.0,17.0,44.0,5.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314
763,ES-CB,2020-03-11,17,17,0,0,0,Cantabria,-1.0,15.0,48.0,-2.0,2.0,-1.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012
764,ES-CE,2020-03-11,3,0,1,0,2,Ceuta,-1.0,-8.0,0.0,-54.05882352941177,3.0,-1.0,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798
765,ES-CL,2020-03-11,257,220,36,0,1,Castilla y León,-1.0,20.0,42.0,4.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.561110818168213
766,ES-CM,2020-03-11,324,76,2,1,245,Castilla - La Mancha,-2.0,19.0,20.0,-7.0,-1.0,0.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474
767,ES-CN,2020-03-11,59,54,0,0,5,Canarias,-5.0,5.0,-5.0,-2.0,0.0,0.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916
768,ES-CT,2020-03-11,760,703,0,2,55,Cataluña,-6.0,17.0,8.0,-5.0,0.0,1.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.0359415803333
769,ES-EX,2020-03-11,74,57,17,0,0,Extremadura,-3.0,16.0,19.0,0.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815
770,ES-GA,2020-03-11,131,129,1,0,1,Galicia,-4.0,9.0,18.0,-2.0,2.0,0.0,100,1.0,1.0,1.0,1.0,2699499.0,29576.44,91.27193806962569
771,ES-IB,2020-03-11,42,41,1,0,0,Illes Balears,4.0,17.0,44.0,9.0,6.0,-1.0,100,1.0,1.0,1.0,1.0,1149460.0,4991.71,230.2737939503697
772,ES-MC,2020-03-11,74,56,17,0,1,Murcia,-2.0,18.0,13.0,1.0,3.0,0.0,100,1.0,1.0,1.0,1.0,1493898.0,11313.87,132.04129091106756
773,ES-MD,2020-03-11,1976,1975,0,0,1,Comunidad de Madrid,-16.0,22.0,25.0,-21.0,-21.0,8.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924803
774,ES-ML,2020-03-11,4,3,0,0,1,Melilla,-7.0,11.0,16.0,-14.5,-2.0,0.0,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898876
775,ES-NC,2020-03-11,130,109,21,0,0,Comunidad Foral de Navarra,0.0,20.0,31.0,-36.0,1.0,0.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647
776,ES-PV,2020-03-11,228,221,0,0,7,País Vasco,-5.0,11.0,30.0,-5.0,-1.0,1.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406
777,ES-RI,2020-03-11,71,68,2,0,1,La Rioja,-9.0,15.0,34.0,-5.0,-9.0,2.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107
778,ES-VC,2020-03-11,294,263,25,0,6,Comunitat Valenciana,-3.0,18.0,19.0,-2.0,1.0,0.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.10568134774832
779,ES-AN,2020-03-12,318,301,17,0,0,Andalucía,-7.0,22.0,2.0,-4.0,1.0,1.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381
780,ES-AR,2020-03-12,80,80,0,0,0,Aragón,-9.0,29.0,14.0,-12.0,0.0,1.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103
781,ES-AS,2020-03-12,57,57,0,0,0,Principado de Asturias,-18.0,25.0,-22.0,-15.0,-4.0,3.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314
782,ES-CB,2020-03-12,36,36,0,0,0,Cantabria,-14.0,23.0,-11.0,-16.0,-1.0,2.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012
783,ES-CE,2020-03-12,1,0,0,0,1,Ceuta,-7.0,-5.0,-8.0,-54.67647058823529,2.0,-1.0,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798
784,ES-CL,2020-03-12,344,308,36,0,0,Castilla y León,-11.0,28.0,14.0,-6.0,0.0,1.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.561110818168213
785,ES-CM,2020-03-12,454,111,4,3,336,Castilla - La Mancha,-8.0,32.0,9.0,-12.0,-4.0,2.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474
786,ES-CN,2020-03-12,73,69,0,0,4,Canarias,-10.0,16.0,-11.0,-7.0,-2.0,1.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916
787,ES-CT,2020-03-12,1030,969,0,1,60,Cataluña,-11.0,33.0,-3.0,-11.0,-2.0,2.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.0359415803333
788,ES-EX,2020-03-12,87,72,15,0,0,Extremadura,-8.0,25.0,11.0,-3.0,1.0,0.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815
789,ES-GA,2020-03-12,181,181,0,0,0,Galicia,-8.0,28.0,6.0,-7.0,0.0,1.0,100,1.0,1.0,1.0,1.0,2699499.0,29576.44,91.27193806962569
790,ES-IB,2020-03-12,42,39,2,0,1,Illes Balears,-3.0,30.0,26.0,1.0,4.0,0.0,100,1.0,1.0,1.0,1.0,1149460.0,4991.71,230.2737939503697
791,ES-MC,2020-03-12,62,40,21,0,1,Murcia,-11.0,39.0,-2.0,-7.0,-1.0,2.0,100,1.0,1.0,1.0,1.0,1493898.0,11313.87,132.04129091106756
792,ES-MD,2020-03-12,2345,2338,0,0,7,Comunidad de Madrid,-32.0,22.0,-1.0,-33.0,-28.0,12.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924803
793,ES-ML,2020-03-12,3,1,1,0,1,Melilla,-6.0,20.0,10.0,-20.75,-6.0,-2.0,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898876
794,ES-NC,2020-03-12,182,140,42,0,0,Comunidad Foral de Navarra,-10.0,32.0,0.0,-39.0,-1.0,1.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647
795,ES-PV,2020-03-12,272,264,0,0,8,País Vasco,-17.0,26.0,-24.0,-12.0,-4.0,3.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406
796,ES-RI,2020-03-12,74,72,2,0,0,La Rioja,-23.0,15.0,3.0,-25.0,-13.0,6.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107
797,ES-VC,2020-03-12,390,358,31,0,1,Comunitat Valenciana,-9.0,25.0,5.0,-10.0,-2.0,2.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.10568134774832
798,ES-AN,2020-03-13,487,447,40,0,0,Andalucía,-28.0,32.0,-20.0,-23.0,-6.0,5.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381
799,ES-AR,2020-03-13,115,115,0,0,0,Aragón,-30.0,39.0,-10.0,-30.0,-6.0,5.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103
800,ES-AS,2020-03-13,70,70,0,0,0,Principado de Asturias,-35.0,31.0,-29.0,-25.0,-18.0,9.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314
801,ES-CB,2020-03-13,54,54,0,0,0,Cantabria,-28.0,42.0,-10.0,-24.0,-5.0,5.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012
802,ES-CE,2020-03-13,6,1,0,0,5,Ceuta,-27.0,3.0,-37.0,-55.294117647058826,-3.0,4.0,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798
803,ES-CL,2020-03-13,505,446,59,0,0,Castilla y León,-33.0,32.0,-19.0,-24.0,-8.0,5.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.561110818168213
804,ES-CM,2020-03-13,628,183,1,3,441,Castilla - La Mancha,-35.0,30.0,-23.0,-32.0,-20.0,9.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474
805,ES-CN,2020-03-13,109,100,0,0,9,Canarias,-28.0,22.0,-29.0,-24.0,-21.0,8.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916
806,ES-CT,2020-03-13,1365,1268,0,6,91,Cataluña,-32.0,29.0,-22.0,-31.0,-24.0,11.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.0359415803333
807,ES-EX,2020-03-13,94,81,13,0,0,Extremadura,-32.0,33.0,-18.0,-15.0,-5.0,4.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815
808,ES-GA,2020-03-13,241,240,0,0,1,Galicia,-29.0,31.0,-23.0,-26.0,-12.0,7.0,100,1.0,1.0,1.0,1.0,2699499.0,29576.44,91.27193806962569
809,ES-IB,2020-03-13,61,61,0,0,0,Illes Balears,-18.0,40.0,-2.0,-9.0,1.0,3.0,100,1.0,1.0,1.0,1.0,1149460.0,4991.71,230.2737939503697
810,ES-MC,2020-03-13,104,70,33,0,1,Murcia,-32.0,35.0,-31.0,-24.0,-8.0,7.0,100,1.0,1.0,1.0,1.0,1493898.0,11313.87,132.04129091106756
811,ES-MD,2020-03-13,2842,2838,0,0,4,Comunidad de Madrid,-47.0,29.0,-33.0,-46.0,-37.0,17.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924803
812,ES-ML,2020-03-13,10,9,1,0,0,Melilla,-61.0,-55.0,-33.0,-27.0,-71.0,-1.7,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898876
813,ES-NC,2020-03-13,211,138,73,0,0,Comunidad Foral de Navarra,-35.0,41.0,-29.0,-49.0,-13.0,9.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647
814,ES-PV,2020-03-13,429,410,0,0,19,País Vasco,-36.0,31.0,-25.0,-30.0,-19.0,10.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406
815,ES-RI,2020-03-13,107,106,1,0,0,La Rioja,-46.0,23.0,-34.0,-40.0,-20.0,11.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107
816,ES-VC,2020-03-13,499,444,45,0,10,Comunitat Valenciana,-27.0,40.0,-20.0,-26.0,-9.0,6.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.10568134774832
817,ES-AN,2020-03-14,420,392,28,0,0,Andalucía,-61.0,-6.0,-48.0,-44.0,-23.0,12.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381
818,ES-AR,2020-03-14,107,107,0,0,0,Aragón,-64.0,-1.0,-34.0,-56.0,-26.0,13.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103
819,ES-AS,2020-03-14,81,81,0,0,0,Principado de Asturias,-73.0,-2.0,-36.0,-37.0,-32.0,15.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314
820,ES-CB,2020-03-14,59,59,0,0,0,Cantabria,-74.0,-5.0,-36.0,-45.0,-33.0,15.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012
821,ES-CE,2020-03-14,4,0,1,0,3,Ceuta,-54.0,-18.0,-52.0,-55.911764705882355,-30.0,4.109589041095891,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798
822,ES-CL,2020-03-14,523,467,55,1,0,Castilla y León,-65.0,-8.0,-44.0,-45.0,-27.0,11.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.561110818168213
823,ES-CM,2020-03-14,605,158,1,2,444,Castilla - La Mancha,-64.0,-9.0,-46.0,-48.0,-30.0,13.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474
824,ES-CN,2020-03-14,97,93,0,0,4,Canarias,-51.0,-6.0,-45.0,-35.0,-20.0,10.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916
825,ES-CT,2020-03-14,1322,1234,0,7,81,Cataluña,-74.0,-8.0,-46.0,-50.0,-34.0,16.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.0359415803333
826,ES-EX,2020-03-14,89,71,18,0,0,Extremadura,-65.0,-13.0,-34.0,-39.0,-26.0,11.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815
827,ES-GA,2020-03-14,240,238,1,0,1,Galicia,-73.0,-5.0,-43.0,-49.0,-32.0,15.0,100,1.0,1.0,1.0,1.0,2699499.0,29576.44,91.27193806962569
828,ES-IB,2020-03-14,71,68,3,0,0,Illes Balears,-46.0,-2.0,-24.0,-20.0,-11.0,11.0,100,1.0,1.0,1.0,1.0,1149460.0,4991.71,230.2737939503697
829,ES-MC,2020-03-14,108,80,28,0,0,Murcia,-69.0,-8.0,-57.0,-45.0,-28.0,15.0,100,1.0,1.0,1.0,1.0,1493898.0,11313.87,132.04129091106756
830,ES-MD,2020-03-14,2565,2554,0,0,11,Comunidad de Madrid,-82.0,-15.0,-56.0,-65.0,-46.0,18.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924803
831,ES-ML,2020-03-14,4,3,1,0,0,Melilla,-55.0,8.0,-52.0,-39.333333333333336,-32.0,-1.4,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898876
832,ES-NC,2020-03-14,177,121,56,0,0,Comunidad Foral de Navarra,-66.0,-2.0,-34.0,-60.0,-29.0,15.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647
833,ES-PV,2020-03-14,420,410,0,0,10,País Vasco,-66.0,-7.0,-30.0,-51.0,-30.0,14.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406
834,ES-RI,2020-03-14,138,136,2,0,0,La Rioja,-75.0,-14.0,-39.0,-56.0,-37.0,15.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107
835,ES-VC,2020-03-14,496,452,33,0,11,Comunitat Valenciana,-73.0,-8.0,-45.0,-53.0,-34.0,15.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.10568134774832
836,ES-AN,2020-03-15,450,409,41,0,0,Andalucía,-87.0,-55.0,-78.0,-68.0,-46.0,15.0,0,0.0,0.0,0.0,0.0,8414240.0,87588.45,96.06563422460381
837,ES-AR,2020-03-15,127,127,0,0,0,Aragón,-86.0,-49.0,-70.0,-77.0,-49.0,15.0,0,0.0,0.0,0.0,0.0,1319291.0,47698.07,27.6592113685103
838,ES-AS,2020-03-15,89,89,0,0,0,Principado de Asturias,-90.0,-53.0,-80.0,-66.0,-51.0,19.0,0,0.0,0.0,0.0,0.0,1022800.0,10597.42,96.51405719505314
839,ES-CB,2020-03-15,68,68,0,0,0,Cantabria,-89.0,-51.0,-81.0,-71.0,-49.0,18.0,0,0.0,0.0,0.0,0.0,581078.0,5261.12,110.44758530503012
840,ES-CE,2020-03-15,2,0,1,0,1,Ceuta,-78.0,-46.0,-81.0,-56.529411764705884,-46.0,4.219178082191781,0,0.0,0.0,0.0,0.0,84777.0,19.87,4266.582788122798
841,ES-CL,2020-03-15,538,472,65,0,1,Castilla y León,-87.0,-50.0,-70.0,-73.0,-47.0,17.0,0,0.0,0.0,0.0,0.0,2399548.0,93874.95,25.561110818168213
842,ES-CM,2020-03-15,774,250,3,6,515,Castilla - La Mancha,-86.0,-52.0,-70.0,-73.0,-49.0,16.0,0,0.0,0.0,0.0,0.0,2032863.0,79406.77,25.600625740097474
843,ES-CN,2020-03-15,91,89,0,0,2,Canarias,-82.0,-40.0,-74.0,-51.0,-38.0,14.0,0,0.0,0.0,0.0,0.0,2153389.0,7445.1,289.2357389423916
844,ES-CT,2020-03-15,1371,1290,0,12,69,Cataluña,-87.0,-50.0,-70.0,-68.0,-48.0,16.0,0,0.0,0.0,0.0,0.0,7675217.0,32109.05,239.0359415803333
845,ES-EX,2020-03-15,86,62,24,0,0,Extremadura,-86.0,-46.0,-64.0,-72.0,-45.0,15.0,0,0.0,0.0,0.0,0.0,1067710.0,41635.33,25.64432658513815
846,ES-GA,2020-03-15,270,269,1,0,0,Galicia,-87.0,-60.0,-77.0,-72.0,-47.0,18.0,0,0.0,0.0,0.0,0.0,2699499.0,29576.44,91.27193806962569
847,ES-IB,2020-03-15,85,83,1,0,1,Illes Balears,-79.0,-24.0,-68.0,-49.0,-31.0,14.0,0,0.0,0.0,0.0,0.0,1149460.0,4991.71,230.2737939503697
848,ES-MC,2020-03-15,97,70,26,0,1,Murcia,-89.0,-62.0,-81.0,-71.0,-49.0,19.0,0,0.0,0.0,0.0,0.0,1493898.0,11313.87,132.04129091106756
849,ES-MD,2020-03-15,2688,2679,0,0,9,Comunidad de Madrid,-89.0,-42.0,-83.0,-77.0,-53.0,19.0,0,0.0,0.0,0.0,0.0,6663394.0,8021.6,830.6814101924803
850,ES-ML,2020-03-15,3,3,0,0,0,Melilla,-80.0,-57.0,-85.0,-51.66666666666667,-45.0,-1.1,0,0.0,0.0,0.0,0.0,86487.0,14.24,6073.525280898876
851,ES-NC,2020-03-15,262,166,96,0,0,Comunidad Foral de Navarra,-85.0,-53.0,-72.0,-78.0,-47.0,18.0,0,0.0,0.0,0.0,0.0,654214.0,9801.01,66.74965131144647
852,ES-PV,2020-03-15,433,417,0,0,16,País Vasco,-88.0,-54.0,-80.0,-73.0,-50.0,18.0,0,0.0,0.0,0.0,0.0,2207776.0,7091.91,311.30908316659406
853,ES-RI,2020-03-15,111,109,2,0,0,La Rioja,-88.0,-51.0,-77.0,-76.0,-52.0,18.0,0,0.0,0.0,0.0,0.0,316798.0,5027.69,63.0106470367107
854,ES-VC,2020-03-15,532,469,55,0,8,Comunitat Valenciana,-89.0,-64.0,-80.0,-71.0,-50.0,17.0,0,0.0,0.0,0.0,0.0,5003769.0,23261.91,215.10568134774832
855,ES-AN,2020-03-16,573,536,37,0,0,Andalucía,-79.0,-34.0,-70.0,-68.0,-51.0,20.0,0,0.0,0.0,0.0,0.0,8414240.0,87588.45,96.06563422460381
856,ES-AR,2020-03-16,163,163,0,0,0,Aragón,-80.0,-30.0,-67.0,-70.0,-45.0,21.0,0,0.0,0.0,0.0,0.0,1319291.0,47698.07,27.6592113685103
857,ES-AS,2020-03-16,106,106,0,0,0,Principado de Asturias,-82.0,-30.0,-70.0,-62.0,-51.0,21.0,0,0.0,0.0,0.0,0.0,1022800.0,10597.42,96.51405719505314
858,ES-CB,2020-03-16,71,71,0,0,0,Cantabria,-81.0,-34.0,-73.0,-72.0,-50.0,23.0,0,0.0,0.0,0.0,0.0,581078.0,5261.12,110.44758530503012
859,ES-CE,2020-03-16,6,1,1,0,4,Ceuta,-79.0,-53.0,-80.0,-57.14705882352941,-52.0,4.328767123287671,0,0.0,0.0,0.0,0.0,84777.0,19.87,4266.582788122798
860,ES-CL,2020-03-16,780,679,100,1,0,Castilla y León,-81.0,-36.0,-67.0,-72.0,-48.0,20.0,0,0.0,0.0,0.0,0.0,2399548.0,93874.95,25.561110818168213
861,ES-CM,2020-03-16,809,239,3,1,566,Castilla - La Mancha,-78.0,-28.0,-70.0,-72.0,-49.0,21.0,0,0.0,0.0,0.0,0.0,2032863.0,79406.77,25.600625740097474
862,ES-CN,2020-03-16,133,117,0,0,16,Canarias,-80.0,-34.0,-79.0,-60.0,-50.0,18.0,0,0.0,0.0,0.0,0.0,2153389.0,7445.1,289.2357389423916
863,ES-CT,2020-03-16,1708,1540,0,11,157,Cataluña,-82.0,-36.0,-74.0,-71.0,-54.0,26.0,0,0.0,0.0,0.0,0.0,7675217.0,32109.05,239.0359415803333
864,ES-EX,2020-03-16,117,94,23,0,0,Extremadura,-79.0,-34.0,-61.0,-70.0,-48.0,17.0,0,0.0,0.0,0.0,0.0,1067710.0,41635.33,25.64432658513815
865,ES-GA,2020-03-16,389,383,3,0,3,Galicia,-78.0,-27.0,-58.0,-68.0,-46.0,22.0,0,0.0,0.0,0.0,0.0,2699499.0,29576.44,91.27193806962569
866,ES-IB,2020-03-16,88,84,1,0,3,Illes Balears,-77.0,-30.0,-67.0,-59.0,-44.0,22.0,0,0.0,0.0,0.0,0.0,1149460.0,4991.71,230.2737939503697
867,ES-MC,2020-03-16,130,98,32,0,0,Murcia,-77.0,-28.0,-72.0,-65.0,-41.0,19.0,0,0.0,0.0,0.0,0.0,1493898.0,11313.87,132.04129091106756
868,ES-MD,2020-03-16,2967,2960,0,0,7,Comunidad de Madrid,-82.0,-35.0,-80.0,-75.0,-65.0,29.0,0,0.0,0.0,0.0,0.0,6663394.0,8021.6,830.6814101924803
869,ES-ML,2020-03-16,6,2,2,1,1,Melilla,-82.0,-37.0,-73.0,-64.0,-56.0,-0.8,0,0.0,0.0,0.0,0.0,86487.0,14.24,6073.525280898876
870,ES-NC,2020-03-16,274,156,118,0,0,Comunidad Foral de Navarra,-79.0,-28.0,-70.0,-78.0,-45.0,21.0,0,0.0,0.0,0.0,0.0,654214.0,9801.01,66.74965131144647
871,ES-PV,2020-03-16,600,579,0,0,21,País Vasco,-82.0,-29.0,-80.0,-67.0,-46.0,22.0,0,0.0,0.0,0.0,0.0,2207776.0,7091.91,311.30908316659406
872,ES-RI,2020-03-16,157,154,3,0,0,La Rioja,-82.0,-37.0,-75.0,-77.0,-45.0,21.0,0,0.0,0.0,0.0,0.0,316798.0,5027.69,63.0106470367107
873,ES-VC,2020-03-16,635,571,54,0,10,Comunitat Valenciana,-80.0,-32.0,-74.0,-71.0,-50.0,22.0,0,0.0,0.0,0.0,0.0,5003769.0,23261.91,215.10568134774832
874,ES-AN,2020-03-17,574,538,36,0,0,Andalucía,-84.0,-46.0,-74.0,-74.0,-59.0,23.0,0,0.0,0.0,0.0,0.0,8414240.0,87588.45,96.06563422460381
875,ES-AR,2020-03-17,158,157,0,1,0,Aragón,-82.0,-37.0,-65.0,-76.0,-53.0,24.0,0,0.0,0.0,0.0,0.0,1319291.0,47698.07,27.6592113685103
876,ES-AS,2020-03-17,80,80,0,0,0,Principado de Asturias,-85.0,-39.0,-71.0,-65.0,-57.0,23.0,0,0.0,0.0,0.0,0.0,1022800.0,10597.42,96.51405719505314
877,ES-CB,2020-03-17,76,76,0,0,0,Cantabria,-84.0,-39.0,-70.0,-73.0,-55.0,24.0,0,0.0,0.0,0.0,0.0,581078.0,5261.12,110.44758530503012
878,ES-CE,2020-03-17,5,0,1,0,4,Ceuta,-82.0,-59.0,-82.0,-57.76470588235294,-58.0,4.438356164383562,0,0.0,0.0,0.0,0.0,84777.0,19.87,4266.582788122798
879,ES-CL,2020-03-17,730,655,74,1,0,Castilla y León,-83.0,-41.0,-65.0,-74.0,-55.0,22.0,0,0.0,0.0,0.0,0.0,2399548.0,93874.95,25.561110818168213
880,ES-CM,2020-03-17,745,199,5,2,539,Castilla - La Mancha,-81.0,-38.0,-71.0,-74.0,-54.0,22.0,0,0.0,0.0,0.0,0.0,2032863.0,79406.77,25.600625740097474
881,ES-CN,2020-03-17,93,90,0,0,3,Canarias,-84.0,-43.0,-81.0,-63.0,-56.0,21.0,0,0.0,0.0,0.0,0.0,2153389.0,7445.1,289.2357389423916
882,ES-CT,2020-03-17,1567,1476,0,9,82,Cataluña,-83.0,-33.0,-71.0,-74.0,-60.0,28.0,0,0.0,0.0,0.0,0.0,7675217.0,32109.05,239.0359415803333
883,ES-EX,2020-03-17,107,95,12,0,0,Extremadura,-82.0,-45.0,-58.0,-71.0,-54.0,19.0,0,0.0,0.0,0.0,0.0,1067710.0,41635.33,25.64432658513815
884,ES-GA,2020-03-17,327,323,3,0,1,Galicia,-80.0,-36.0,-58.0,-72.0,-53.0,23.0,0,0.0,0.0,0.0,0.0,2699499.0,29576.44,91.27193806962569
885,ES-IB,2020-03-17,82,79,3,0,0,Illes Balears,-81.0,-37.0,-71.0,-66.0,-52.0,25.0,0,0.0,0.0,0.0,0.0,1149460.0,4991.71,230.2737939503697
886,ES-MC,2020-03-17,103,79,24,0,0,Murcia,-80.0,-36.0,-72.0,-69.0,-51.0,22.0,0,0.0,0.0,0.0,0.0,1493898.0,11313.87,132.04129091106756
887,ES-MD,2020-03-17,2793,2790,0,0,3,Comunidad de Madrid,-85.0,-38.0,-82.0,-79.0,-69.0,31.0,0,0.0,0.0,0.0,0.0,6663394.0,8021.6,830.6814101924803
888,ES-ML,2020-03-17,3,3,0,0,0,Melilla,-84.0,-43.0,-79.0,-73.0,-64.0,-0.5,0,0.0,0.0,0.0,0.0,86487.0,14.24,6073.525280898876
889,ES-NC,2020-03-17,267,169,98,0,0,Comunidad Foral de Navarra,-82.0,-34.0,-72.0,-79.0,-52.0,24.0,0,0.0,0.0,0.0,0.0,654214.0,9801.01,66.74965131144647
890,ES-PV,2020-03-17,539,519,0,0,20,País Vasco,-84.0,-31.0,-75.0,-73.0,-54.0,25.0,0,0.0,0.0,0.0,0.0,2207776.0,7091.91,311.30908316659406
891,ES-RI,2020-03-17,122,117,5,0,0,La Rioja,-83.0,-38.0,-75.0,-77.0,-49.0,22.0,0,0.0,0.0,0.0,0.0,316798.0,5027.69,63.0106470367107
892,ES-VC,2020-03-17,559,509,39,0,11,Comunitat Valenciana,-84.0,-39.0,-78.0,-76.0,-56.0,25.0,0,0.0,0.0,0.0,0.0,5003769.0,23261.91,215.10568134774832
893,ES-AN,2020-03-18,530,493,37,0,0,Andalucía,-85.0,-46.0,-74.0,-77.0,-60.0,25.0,0,0.0,0.0,0.0,0.0,8414240.0,87588.45,96.06563422460381
894,ES-AR,2020-03-18,168,168,0,0,0,Aragón,-83.0,-36.0,-60.0,-77.0,-55.0,24.0,0,0.0,0.0,0.0,0.0,1319291.0,47698.07,27.6592113685103
895,ES-AS,2020-03-18,91,91,0,0,0,Principado de Asturias,-85.0,-39.0,-67.0,-66.0,-58.0,24.0,0,0.0,0.0,0.0,0.0,1022800.0,10597.42,96.51405719505314
896,ES-CB,2020-03-18,89,89,0,0,0,Cantabria,-84.0,-39.0,-69.0,-75.0,-57.0,25.0,0,0.0,0.0,0.0,0.0,581078.0,5261.12,110.44758530503012
897,ES-CE,2020-03-18,6,0,2,0,4,Ceuta,-82.0,-60.0,-83.0,-58.38235294117647,-62.0,4.5479452054794525,0,0.0,0.0,0.0,0.0,84777.0,19.87,4266.582788122798
898,ES-CL,2020-03-18,815,732,83,0,0,Castilla y León,-84.0,-42.0,-64.0,-76.0,-56.0,23.0,0,0.0,0.0,0.0,0.0,2399548.0,93874.95,25.561110818168213
